MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2024 / 09,Queens,7,Residential,74.1,4
2024 / 09,,7,School,141.5,
2024 / 09,Queens,8,Residential,53.8,4
2024 / 09,Queens,9,Residential,71.7,4
2024 / 09,,9,School,112.1,
2024 / 09,Queens,10,Residential,29.2,4
2024 / 09,,10,School,73,
2024 / 09,Queens,11,Residential,61.7,4
2024 / 09,,11,School,79.7,
2024 / 09,Queens,12,Residential,207,4
2024 / 09,,12,School,95,
2024 / 09,Queens,13,Residential,56.4,4
2024 / 09,,13,School,54.6,
2024 / 09,Queens,14,Residential,54.7,4
2024 / 08,Queens,1,Residential,87.2,4
2024 / 08,,1,School,38.7,
2024 / 08,Queens,2,Residential,35.7,4
2024 / 08,Queens,3,Residential,41.9,4
2024 / 08,Queens,4,Residential,30.8,4
2024 / 08,Queens,5,Residential,69,4
2024 / 08,,5,School,56,
2024 / 08,Queens,6,Residential,63.5,4
2024 / 08,Queens,7,Residential,65.6,4
2024 / 08,,7,School,47.9,
2024 / 08,Queens,8,Residential,75,4
2024 / 08,Queens,9,Residential,89.9,4
2024 / 08,Queens,10,Residential,31.6,4
2024 / 08,,10,School,21.2,
2024 / 08,Queens,11,Residential,73,4
2024 / 08,Queens,12,Residential,291.4,4
2024 / 08,Queens,13,Residential,71,4
2024 / 08,,13,School,16.5,
2024 / 08,Queens,14,Residential,70.8,4
2024 / 07,Queens,1,Residential,94.3,4
2024 / 07,,1,School,77.5,
2024 / 07,Queens,2,Residential,32.7,4
2024 / 07,Queens,3,Residential,35,4
2024 / 07,Queens,4,Residential,28.1,4
2024 / 07,Queens,5,Residential,78.6,4
2024 / 07,,5,School,109.5,
2024 / 07,Queens,6,Residential,52.7,4
2024 / 07,Queens,7,Residential,70.6,4
2024 / 07,,7,School,89.9,
2024 / 07,Queens,8,Residential,73.1,4
2024 / 07,Queens,9,Residential,86,4
2024 / 07,Queens,10,Residential,35.6,4
2024 / 07,,10,School,40,
2024 / 07,Queens,11,Residential,71.2,4
2024 / 07,Queens,12,Residential,249.5,4
2024 / 07,Queens,13,Residential,93.4,4
2024 / 07,,13,School,36.7,
2024 / 07,Queens,14,Residential,60.7,4
2024 / 06,Queens,1,Residential,84.4,4
2024 / 06,,1,School,178.1,
2024 / 06,Queens,2,Residential,37.5,4
2024 / 06,,2,School,160.6,
2024 / 06,Queens,3,Residential,37.5,4
2024 / 06,Queens,4,Residential,28.9,4
2024 / 06,Queens,5,Residential,73,4
2024 / 06,,5,School,107.9,
2024 / 06,Queens,6,Residential,63,4
2024 / 06,Queens,7,Residential,77.6,4
2024 / 06,,7,School,139.9,
2024 / 06,Queens,8,Residential,65.8,4
2024 / 06,,8,School,5.3,
2024 / 06,Queens,9,Residential,98.7,4
2024 / 06,,9,School,90.7,
2024 / 06,Queens,10,Residential,31.7,4
2024 / 06,,10,School,55.7,
2024 / 06,Queens,11,Residential,79.5,4
2024 / 06,,11,School,58.1,
2024 / 06,Queens,12,Residential,289.3,4
2024 / 06,,12,School,84.5,
2024 / 06,Queens,13,Residential,85.5,4
2024 / 06,,13,School,42.2,
2024 / 06,Queens,14,Residential,68,4
2024 / 05,Queens,1,Residential,85.7,4
2024 / 05,,1,School,265.7,
2024 / 05,Queens,2,Residential,39.8,4
2024 / 05,,2,School,239.2,
2024 / 05,Queens,3,Residential,41.4,4
2024 / 05,Queens,4,Residential,29.1,4
2024 / 05,Queens,5,Residential,89.4,4
2024 / 05,,5,School,137.2,
2024 / 05,Queens,6,Residential,70.3,4
2024 / 05,Queens,7,Residential,101.7,4
2024 / 05,,7,School,199.9,
2024 / 05,Queens,8,Residential,96.5,4
2024 / 05,,8,School,5.4,
2024 / 05,Queens,9,Residential,96.8,4
2024 / 05,,9,School,137.7,
2024 / 05,Queens,10,Residential,43.1,4
2024 / 05,,10,School,92.6,
2024 / 05,Queens,11,Residential,100.1,4
2024 / 05,,11,School,91,
2024 / 05,Queens,12,Residential,341.8,4
2024 / 05,,12,School,121.2,
2024 / 05,Queens,13,Residential,91.9,4
2024 / 05,,13,School,65.3,
2024 / 05,Queens,14,Residential,75.9,4
2024 / 04,Queens,1,Residential,69.7,4
2024 / 04,,1,School,135.4,
2024 / 04,Queens,2,Residential,35.5,4
2024 / 04,,2,School,143.8,
2024 / 04,Queens,3,Residential,32.3,4
2024 / 04,Queens,4,Residential,23.3,4
2024 / 04,Queens,5,Residential,74.7,4
2024 / 04,,5,School,85.4,
2024 / 04,Queens,6,Residential,45.7,4
2024 / 04,Queens,7,Residential,73.4,4
2024 / 04,,7,School,114.8,
2024 / 04,Queens,8,Residential,68,4
2024 / 04,,8,School,4.2,
2024 / 04,Queens,9,Residential,81.7,4
2024 / 04,,9,School,88.2,
2024 / 04,Queens,10,Residential,27.6,4
2024 / 04,,10,School,53.7,
2024 / 04,Queens,11,Residential,72.2,4
2024 / 04,,11,School,53.5,
2024 / 04,Queens,12,Residential,176,4
2024 / 04,,12,School,71.1,
2024 / 04,Queens,13,Residential,73.6,4
2024 / 04,,13,School,35.3,
