Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
480912,235554,1,1/29/26,NYCT Subway,delays,R | W,R/W trains are running with delays in both directions after EMS assisted someone in need at Canal St.,R trains have resumed making scheduled stops in both directions between Canal St and DeKalb Av.
480724,235442,1,1/28/26,NYCT Subway,reroute | delays,N | Q | R | W,Uptown N/R/W service is disrupted while we remove a train from service at Lexington Av/59 St.,"Service Changes:
Some uptown N/W trains will end at 96 St on the Q, where they will turn back for downtown service.

Uptown R trains are running via the Q from 57 St/7 Av to Lexington Av/63 St, then via Roosevelt Island to 36 St (Queens), then resume regular service.

Listen for crew announcements to hear how your train will run.

Expect uptown Q delays while they share tracks with rerouted trains."
480730,235442,2,1/28/26,NYCT Subway,delays,N | Q | R | W,N/Q/R/W trains are running with delays in both directions after we removed a train from service at Lexington Av/59 St.,Uptown N/R/W trains have resumed regular service from Manhattan to Queens.
480478,235319,0,1/28/26,NYCT Subway,delays,R,R trains are running with delays in both directions.,"What's Happening?

We're recovering from the winter storm."
479526,234913,0,1/26/26,NYCT Subway,express-to-local | delays,N | Q | R | W,"Downtown N/Q trains are running local from 34 St-Herald Sq to Canal St.
Expect delays in downtown R/W service while they share tracks with rerouted trains.",We are removing a train with a mechanical problem from service at 14 St.
479528,234913,1,1/26/26,NYCT Subway,delays,N | Q | R | W,Downtown N/Q/R/W trains are running with delays after we removed a train with a mechanical problem from service at 14 St.,Downtown N/Q trains have resumed making express stops from 34 St-Herald Sq to Canal St.
479048,234716,1,1/26/26,NYCT Subway,severe-delays,R,R trains are running with severe delays in both directions.,"What's Happening?

Winter storm.

Please use caution while traveling."
479405,234716,7,1/26/26,NYCT Subway,delays,R,R trains are running with delays in both directions.,"What's Happening?
We're recovering from the winter storm."
479448,234716,8,1/26/26,NYCT Subway,severe-delays,R,"R trains are running with delays in both directions, severely downtown.","What's Happening?

We're recovering from the winter storm."
479472,234716,9,1/26/26,NYCT Subway,delays,R,R trains are running with delays in both directions.,"What's Happening?

We're recovering from the winter storm."
